TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2022,1,30,6,57,11XX WILLIAM ST,Strathcona,494196.0232,5457932.3133
Break and Enter Commercial,2022,1,17,9,33,12XX BURNABY ST,West End,490160.1998,5458766.4917
Break and Enter Commercial,2022,1,11,3,44,12XX E 12TH AVE,Mount Pleasant,494348.9159,5456325.7816
Break and Enter Commercial,2022,1,5,0,15,12XX GRANVILLE ST,Central Business District,490713.5555,5458170.1883
Break and Enter Commercial,2022,2,8,3,22,12XX HAMILTON ST,Central Business District,491003.286,5457952.4561
Break and Enter Commercial,2022,1,1,22,0,12XX HOMER ST,Central Business District,491002.1164,5458023.9432
Break and Enter Commercial,2022,1,29,11,46,12XX HOWE ST,Central Business District,490735.2885,5458339.4652
Break and Enter Commercial,2022,1,5,18,0,12XX KINGSWAY AVE,Kensington-Cedar Cottage,494214.0571,5455470.8166
Break and Enter Commercial,2022,1,6,2,23,12XX ROBSON ST,West End,490672.1132,5459356.1019
Break and Enter Commercial,2022,1,14,1,37,12XX W HASTINGS ST,Central Business District,491023.488,5459585.8138
Break and Enter Commercial,2022,1,3,19,12,13XX ALBERNI ST,West End,490667.2323,5459516.388
Break and Enter Commercial,2022,1,3,5,0,13XX BUTE ST,West End,490161.8499,5458657.1232
Break and Enter Commercial,2022,1,1,11,52,13XX BUTE ST,West End,490171.7589,5458654.1587
Break and Enter Commercial,2022,1,29,6,26,13XX COMMERCIAL DR,Grandview-Woodland,494942.0326,5457760.1763
Break and Enter Commercial,2022,1,16,5,19,13XX E 12TH AVE,Kensington-Cedar Cottage,494376.0822,5456316.4627
Break and Enter Commercial,2022,1,30,8,0,13XX E 1ST AVE,Grandview-Woodland,494436.008,5457429.5914
Break and Enter Commercial,2022,1,13,17,0,13XX E HASTINGS ST,Grandview-Woodland,494419.2444,5458739.2092
Break and Enter Commercial,2022,1,8,12,51,13XX E KENT AVE N,Sunset,494146.7128,5450708.371
Break and Enter Commercial,2022,1,16,0,0,13XX E KENT AVE N,Sunset,494146.7128,5450708.371
Break and Enter Commercial,2022,1,23,0,0,13XX E KENT AVE N,Sunset,494146.7128,5450708.371
Break and Enter Commercial,2022,1,30,14,39,13XX E KENT AVE N,Sunset,494146.7128,5450708.371
Break and Enter Commercial,2022,1,12,11,6,13XX E KENT AVE S,Sunset,494137.8159,5450678.6668
Break and Enter Commercial,2022,1,3,10,54,13XX HORNBY ST,Central Business District,490495.2398,5458234.8932
Break and Enter Commercial,2022,1,28,1,50,13XX HORNBY ST,Central Business District,490495.2398,5458234.8932
Break and Enter Commercial,2022,1,22,0,27,13XX JERVIS ST,West End,489988.409,5458694.4324
Break and Enter Commercial,2022,1,11,6,18,13XX JERVIS ST,West End,490042.2136,5458762.5387
Break and Enter Commercial,2022,2,9,3,0,13XX W GEORGIA ST,West End,490695.4261,5459565.9646
Break and Enter Commercial,2022,1,5,4,30,14XX COMMERCIAL DR,Grandview-Woodland,494940.7752,5457692.1863
Break and Enter Commercial,2022,1,8,14,0,14XX GRANVILLE ST,Central Business District,490524.4017,5457970.2186
Break and Enter Commercial,2022,1,17,13,46,14XX HARWOOD ST,West End,489920.5768,5458850.8093
Break and Enter Commercial,2022,2,4,7,59,14XX W GEORGIA ST,Central Business District,490664.9304,5459609.2937
Break and Enter Commercial,2022,1,7,7,57,15XX BOUNDARY RD,Hastings-Sunrise,498273.5953,5457510.695
Break and Enter Commercial,2022,1,16,13,46,15XX BOUNDARY RD,Hastings-Sunrise,498273.5953,5457510.695
Break and Enter Commercial,2022,1,4,19,0,15XX COMMERCIAL DR,Grandview-Woodland,494938.4919,5457561.5541
Break and Enter Commercial,2022,1,1,3,54,15XX COMOX ST,West End,490125.8866,5459265.2998
Break and Enter Commercial,2022,1,30,10,14,15XX E 8TH AVE,Grandview-Woodland,494699.3635,5456731.2422
Break and Enter Commercial,2022,1,7,5,16,15XX W 2ND AVE,Fairview,489827.9865,5457441.996
Break and Enter Commercial,2022,1,8,10,45,16XX CHESTNUT ST,Kitsilano,489345.3387,5457577.9863
Break and Enter Commercial,2022,1,20,3,26,16XX KINGSWAY AVE,Kensington-Cedar Cottage,494883.1389,5454973.2492
Break and Enter Commercial,2022,1,11,23,30,16XX KINGSWAY AVE,Kensington-Cedar Cottage,494895.9566,5454975.3582
Break and Enter Commercial,2022,2,1,17,47,16XX VENABLES ST,Grandview-Woodland,494869.2616,5458210.9061
Break and Enter Commercial,2022,1,7,4,31,16XX W 1ST AVE,Fairview,489595.9378,5457545.8746
Break and Enter Commercial,2022,1,13,0,15,17XX ALBERNI ST,West End,490316.9427,5459864.4127
Break and Enter Commercial,2022,1,14,23,0,17XX BARCLAY ST,West End,490052.8651,5459663.5561
Break and Enter Commercial,2022,1,21,5,30,17XX COOK ST,Mount Pleasant,491985.4188,5457397.3966
Break and Enter Commercial,2022,1,20,23,26,17XX E 11TH AVE,Kensington-Cedar Cottage,495003.0012,5456415.7877
Break and Enter Commercial,2022,1,28,2,5,17XX E HASTINGS ST,Grandview-Woodland,494893.265,5458719.3107
Break and Enter Commercial,2022,1,2,6,47,17XX ONTARIO ST,Mount Pleasant,492391.6645,5457401.8466
Break and Enter Commercial,2022,1,27,1,49,17XX ONTARIO ST,Mount Pleasant,492391.7761,5457408.0355
Break and Enter Commercial,2022,1,14,10,6,17XX QUEBEC ST,Mount Pleasant,492523.5785,5457415.4789
Break and Enter Commercial,2022,2,7,9,43,17XX ROBSON ST,West End,490202.2353,5459822.3167
Break and Enter Commercial,2022,1,29,22,59,18XX FRANKLIN ST,Grandview-Woodland,495097.2208,5458828.9097
Break and Enter Commercial,2022,2,3,18,30,19XX PENDRELL ST,West End,489580.9114,5459667.674
Break and Enter Commercial,2022,2,7,5,13,19XX ROBSON ST,West End,489974.307,5460038.3732
Break and Enter Commercial,2022,1,24,3,11,19XX SW MARINE DR,Kerrisdale,489032.7097,5450950.4255
Break and Enter Commercial,2022,1,4,5,9,19XX W 4TH AVE,Kitsilano,489071.1772,5457263.8765
Break and Enter Commercial,2022,2,1,5,0,1X E 5TH AVE,Mount Pleasant,492407.6073,5457090.7237
Break and Enter Commercial,2022,1,4,4,42,1X W BROADWAY AVE,Mount Pleasant,492343.0137,5456705.1434
Break and Enter Commercial,2022,1,27,4,49,1XX DAVIE ST,Central Business District,491245.7961,5457863.7676
Break and Enter Commercial,2022,1,4,22,0,1XX E 2ND AVE,Mount Pleasant,492641.5675,5457373.8013
Break and Enter Commercial,2022,2,3,16,50,1XX E BROADWAY AVE,Mount Pleasant,492521.2571,5456698.3698
Break and Enter Commercial,2022,1,2,18,35,1XX E CORDOVA ST,Central Business District,492659.8823,5458840.7683
Break and Enter Commercial,2022,2,10,6,7,1XX E PENDER ST,Central Business District,492595.3928,5458640.4814
Break and Enter Commercial,2022,1,20,4,42,1XX KEEFER PL,Central Business District,492120.9678,5458563.1128
Break and Enter Commercial,2022,1,16,19,0,1XX ONTARIO PL,Sunset,492588.7471,5453315.0923
Break and Enter Commercial,2022,2,4,2,30,1XX ROBSON ST,Central Business District,491662.6843,5458373.1872
Break and Enter Commercial,2022,2,4,1,46,1XX W 2ND AVE,Mount Pleasant,492084.0056,5457404.4503
Break and Enter Commercial,2022,1,25,4,38,1XX W 2ND AVE,Mount Pleasant,492186.0698,5457402.1218
Break and Enter Commercial,2022,1,11,3,0,1XX W HASTINGS ST,Central Business District,492148.8419,5458822.678
Break and Enter Commercial,2022,1,18,4,34,1XX W HASTINGS ST,Central Business District,492193.6006,5458809.2198
Break and Enter Commercial,2022,1,2,18,0,1XX WATER ST,Central Business District,492207.2193,5459040.0554
Break and Enter Commercial,2022,1,26,16,59,20XX W 43RD AVE,Kerrisdale,488734.5972,5453340.5422
Break and Enter Commercial,2022,1,29,17,30,20XX W 46TH AVE,Kerrisdale,488716.933,5453017.0802
Break and Enter Commercial,2022,1,11,19,55,20XX W 5TH AVE,Kitsilano,488945.9082,5457179.6189
Break and Enter Commercial,2022,1,9,5,44,20XX W BROADWAY AVE,Kitsilano,488897.4913,5456790.2249
Break and Enter Commercial,2022,2,11,0,19,20XX W BROADWAY AVE,Kitsilano,488897.4913,5456790.2249
Break and Enter Commercial,2022,1,24,18,0,21XX KINGSWAY AVE,Kensington-Cedar Cottage,495412.2978,5454593.4778
Break and Enter Commercial,2022,1,7,2,0,21XX KINGSWAY AVE,Kensington-Cedar Cottage,495428.609,5454581.4955
Break and Enter Commercial,2022,1,15,3,13,21XX KINGSWAY AVE,Kensington-Cedar Cottage,495428.609,5454581.4955
Break and Enter Commercial,2022,1,19,9,0,21XX PANDORA ST,Grandview-Woodland,495563.3592,5458925.4883
Break and Enter Commercial,2022,1,8,22,15,21XX W 4TH AVE,Kitsilano,488818.0214,5457279.25
Break and Enter Commercial,2022,1,12,4,13,21XX W 4TH AVE,Kitsilano,488880.804,5457277.688
Break and Enter Commercial,2022,1,13,14,20,22XX E 1ST AVE,Grandview-Woodland,495691.7688,5457413.1903
Break and Enter Commercial,2022,1,10,7,35,22XX E BROADWAY AVE,Grandview-Woodland,495674.5792,5456615.6684
Break and Enter Commercial,2022,1,18,11,32,22XX LAUREL ST,Fairview,490975.6443,5456948.8723
Break and Enter Commercial,2022,1,14,15,0,23XX W 41ST AVE,Arbutus Ridge,488349.8804,5453558.6929
Break and Enter Commercial,2022,1,12,3,46,25XX GRANVILLE ST,Fairview,489924.6201,5456667.2479
Break and Enter Commercial,2022,2,2,15,0,27XX E HASTINGS ST,Hastings-Sunrise,496481.1227,5458717.2
Break and Enter Commercial,2022,1,18,11,11,27XX E HASTINGS ST,Hastings-Sunrise,496560.9549,5458707.7865
Break and Enter Commercial,2022,1,12,5,55,27XX GRANVILLE ST,Fairview,489911.4542,5456541.123
Break and Enter Commercial,2022,1,18,15,36,28XX ARBUTUS ST,Kitsilano,488857.2474,5456424.4613
Break and Enter Commercial,2022,1,5,2,4,28XX GRANVILLE ST,Fairview,489901.4294,5456353.732
Break and Enter Commercial,2022,1,29,2,55,29XX GRANVILLE ST,Fairview,489910.4456,5456255.5061
Break and Enter Commercial,2022,1,12,1,2,29XX W BROADWAY AVE,Kitsilano,487593.6073,5456825.3257
Break and Enter Commercial,2022,1,18,15,0,2X E HASTINGS ST,Central Business District,492455.3296,5458742.4723
Break and Enter Commercial,2022,2,9,6,51,2X W HASTINGS ST,Central Business District,492367.1438,5458760.0134
Break and Enter Commercial,2022,1,16,1,18,2XX ABBOTT ST,Central Business District,492247.1533,5458986.1538
Break and Enter Commercial,2022,1,4,4,32,2XX ABBOTT ST,Central Business District,492261.462,5459004.749
Break and Enter Commercial,2022,2,10,10,28,2XX CARRALL ST,Central Business District,492415.5047,5458969.1173
Break and Enter Commercial,2022,1,2,2,0,2XX E GEORGIA ST,Strathcona,492935.5844,5458419.6264
Break and Enter Commercial,2022,2,8,22,26,2XX E HASTINGS ST,Strathcona,492807.2631,5458740.5168
Break and Enter Commercial,2022,1,28,5,0,2XX KINGSWAY AVE,Mount Pleasant,492873.9836,5456510.8841
Break and Enter Commercial,2022,1,25,3,0,2XX N NANAIMO ST,Grandview-Woodland,495885.117,5459365.0831
Break and Enter Commercial,2022,1,20,20,0,30XX CAMBIE ST,Fairview,491625.8526,5456208.2169
Break and Enter Commercial,2022,1,15,7,45,30XX GRANDVIEW HWY,Renfrew-Collingwood,497083.7284,5456156.7269
Break and Enter Commercial,2022,1,12,6,3,30XX W BROADWAY AVE,Kitsilano,487413.0216,5456840.5218
Break and Enter Commercial,2022,1,3,5,47,31XX GRANVILLE ST,Fairview,489899.5552,5456134.8986
Break and Enter Commercial,2022,2,5,13,47,31XX KINGSWAY AVE,Renfrew-Collingwood,497177.9058,5453630.1932
Break and Enter Commercial,2022,2,1,6,5,32XX CAMBIE ST,South Cambie,491620.0627,5455935.9892
Break and Enter Commercial,2022,1,1,7,3,33XX KINGSWAY AVE,Renfrew-Collingwood,497405.0512,5453477.2645
Break and Enter Commercial,2022,1,15,7,24,34XX COMMERCIAL ST,Kensington-Cedar Cottage,495055.2396,5455659.8958
Break and Enter Commercial,2022,1,31,17,0,34XX SAWMILL CRES,Killarney,497666.0265,5450358.7264
Break and Enter Commercial,2022,1,1,5,15,35XX CORNETT RD,Renfrew-Collingwood,497962.9815,5456497.5692
Break and Enter Commercial,2022,1,11,0,25,35XX CORNETT RD,Renfrew-Collingwood,497962.9815,5456497.5692
Break and Enter Commercial,2022,1,25,18,54,35XX KINGSWAY AVE,Renfrew-Collingwood,497882.8477,5453257.2973
Break and Enter Commercial,2022,1,8,3,30,35XX KINGSWAY AVE,Killarney,497913.5033,5453250.464
Break and Enter Commercial,2022,1,16,3,35,36XX E 4TH AVE,Hastings-Sunrise,498247.0956,5457092.4269
Break and Enter Commercial,2022,1,15,5,22,39XX FRASER ST,Kensington-Cedar Cottage,493444.7918,5455181.4474
Break and Enter Commercial,2022,2,4,8,58,3XX BOUNDARY RD,Hastings-Sunrise,498278.014,5458741.4254
Break and Enter Commercial,2022,1,5,22,0,3XX CARRALL ST,Central Business District,492420.9044,5458846.1844
Break and Enter Commercial,2022,1,17,3,14,3XX GRANVILLE ST,Central Business District,491779.1428,5459232.0296
Break and Enter Commercial,2022,1,28,22,30,3XX GRANVILLE ST,Central Business District,491779.1428,5459232.0296
Break and Enter Commercial,2022,2,8,22,0,3XX GRANVILLE ST,Central Business District,491779.1428,5459232.0296
Break and Enter Commercial,2022,1,2,1,55,3XX W 10TH AVE,Mount Pleasant,491887.1982,5456603.5963
Break and Enter Commercial,2022,1,26,3,0,3XX W PENDER ST,Central Business District,491931.4677,5458829.7415
Break and Enter Commercial,2022,1,28,3,35,3XX W PENDER ST,Central Business District,491931.4677,5458829.7415
Break and Enter Commercial,2022,1,12,21,45,3XX WATER ST,Central Business District,492032.1494,5459078.6253
Break and Enter Commercial,2022,1,30,15,0,40XX KNIGHT ST,Kensington-Cedar Cottage,494475.9578,5455120.9598
Break and Enter Commercial,2022,1,18,3,56,41XX ARBUTUS ST,Arbutus Ridge,488845.8848,5455218.4152
Break and Enter Commercial,2022,1,17,4,37,42XX DUNBAR ST,Dunbar-Southlands,486516.8332,5455149.7588
Break and Enter Commercial,2022,1,5,4,50,43XX MAIN ST,Riley Park,492629.7053,5454868.1121
Break and Enter Commercial,2022,1,4,0,0,43XX W 10TH AVE,West Point Grey,485107.6277,5456803.178
Break and Enter Commercial,2022,1,8,21,51,48XX ELDORADO MEWS,Renfrew-Collingwood,495818.4815,5454304.6113
Break and Enter Commercial,2022,1,20,2,50,4XX MOBERLY RD,Fairview,491430.1474,5457321.9854
Break and Enter Commercial,2022,1,10,8,50,4XX RICHARDS ST,Central Business District,491847.0752,5459017.8441
Break and Enter Commercial,2022,1,23,10,30,4XX W BROADWAY AVE,Mount Pleasant,491732.3445,5456724.7398
Break and Enter Commercial,2022,1,10,21,30,4XX W PENDER ST,Central Business District,491854.4859,5458895.41
Break and Enter Commercial,2022,1,25,3,0,54XX CECIL ST,Renfrew-Collingwood,497327.3516,5453567.3768
Break and Enter Commercial,2022,1,15,14,0,55XX FRASER ST,Kensington-Cedar Cottage,493413.4079,5453460.3502
Break and Enter Commercial,2022,1,31,5,0,56XX OAK ST,South Cambie,490682.3246,5453536.96
Break and Enter Commercial,2022,1,8,1,0,58XX VICTORIA DR,Victoria-Fraserview,495231.4506,5453099.1391
Break and Enter Commercial,2022,1,16,6,46,58XX VICTORIA DR,Victoria-Fraserview,495231.4506,5453099.1391
Break and Enter Commercial,2022,2,1,22,11,5X E CORDOVA ST,Central Business District,492494.7942,5458844.4792
Break and Enter Commercial,2022,2,5,5,12,5X E CORDOVA ST,Central Business District,492494.7942,5458844.4792
Break and Enter Commercial,2022,1,30,1,0,5XX DUNSMUIR ST,Central Business District,491660.6372,5458874.0967
Break and Enter Commercial,2022,2,3,6,44,5XX E 15TH AVE,Mount Pleasant,493199.3407,5456069.4157
Break and Enter Commercial,2022,1,31,6,43,5XX E 15TH AVE,Mount Pleasant,493264.3249,5456055.9086
Break and Enter Commercial,2022,1,24,13,8,5XX E HASTINGS ST,Strathcona,493264.4067,5458718.0456
Break and Enter Commercial,2022,1,16,6,30,5XX GRANVILLE ST,Central Business District,491593.9267,5459045.5183
Break and Enter Commercial,2022,1,18,9,0,5XX GREAT NORTHERN WAY,Strathcona,493300.4716,5457123.2281
Break and Enter Commercial,2022,2,9,16,41,5XX HOMER ST,Central Business District,491831.8722,5458860.7361
Break and Enter Commercial,2022,1,10,4,42,5XX HOWE ST,Central Business District,491467.5684,5459074.6425
Break and Enter Commercial,2022,1,13,3,35,5XX RICHARDS ST,Central Business District,491746.54,5458929.7929
Break and Enter Commercial,2022,2,10,9,34,5XX SEYMOUR ST,Central Business District,491656.1246,5458976.4335
Break and Enter Commercial,2022,1,13,2,48,5XX SMITHE ST,Central Business District,491291.0699,5458508.8825
Break and Enter Commercial,2022,1,19,5,46,5XX TAYLOR ST,Central Business District,492304.877,5458594.2212
Break and Enter Commercial,2022,1,1,6,21,5XX W 7TH AVE,Fairview,491616.6041,5456923.6517
Break and Enter Commercial,2022,1,21,0,35,5XX W GEORGIA ST,Central Business District,491502.4532,5458777.1782
Break and Enter Commercial,2022,1,13,18,30,60XX CARTIER ST,Oakridge,489940.498,5453131.8836
Break and Enter Commercial,2022,1,15,13,0,60XX COLLINGWOOD PL,Dunbar-Southlands,486713.5554,5453223.5173
Break and Enter Commercial,2022,1,19,10,32,61XX VINE ST,Kerrisdale,488350.2915,5453112.7488
Break and Enter Commercial,2022,1,23,23,15,65XX FRASER ST,Sunset,493387.7044,5452479.4191
Break and Enter Commercial,2022,1,18,7,21,65XX FREMLIN ST,Oakridge,490766.854,5452622.5399
Break and Enter Commercial,2022,1,22,17,0,65XX RUPERT ST,Killarney,496777.4584,5452362.4061
Break and Enter Commercial,2022,1,3,21,32,6X SMITHE ST,Central Business District,491621.3543,5458165.6879
Break and Enter Commercial,2022,1,15,2,20,6X SMITHE ST,Central Business District,491621.3543,5458165.6879
Break and Enter Commercial,2022,1,15,12,0,6X W 6TH AVE,Mount Pleasant,492287.1848,5456990.7419
Break and Enter Commercial,2022,1,19,5,35,6XX ABBOTT ST,Central Business District,492176.2324,5458530.6537
Break and Enter Commercial,2022,1,1,6,28,6XX GRANVILLE ST,Central Business District,491445.9138,5458896.4061
Break and Enter Commercial,2022,1,11,1,17,6XX POWELL ST,Strathcona,493471.1795,5458925.4087
Break and Enter Commercial,2022,1,26,4,41,6XX SEYMOUR ST,Central Business District,491574.0404,5458880.5332
Break and Enter Commercial,2022,2,9,5,34,6XX SEYMOUR ST,Central Business District,491574.0404,5458880.5332
Break and Enter Commercial,2022,2,7,11,29,6XX W CORDOVA ST,Central Business District,491865.2415,5459187.8455
Break and Enter Commercial,2022,1,3,9,49,6XX W HASTINGS ST,Central Business District,491788.1819,5459118.5249
Break and Enter Commercial,2022,1,30,5,39,71XX VICTORIA DR,Victoria-Fraserview,495196.893,5451861.7322
Break and Enter Commercial,2022,2,4,1,58,7X E BROADWAY AVE,Mount Pleasant,492473.7559,5456700.2724
Break and Enter Commercial,2022,1,15,6,46,7X E CORDOVA ST,Central Business District,492529.4048,5458853.4237
Break and Enter Commercial,2022,1,18,2,30,7X E PENDER ST,Central Business District,492520.1899,5458634.1479
Break and Enter Commercial,2022,1,26,21,0,7X KINGSWAY AVE,Mount Pleasant,492743.6224,5456734.0832
Break and Enter Commercial,2022,1,1,4,32,7XX BURRARD ST,Central Business District,491118.6033,5458997.2969
Break and Enter Commercial,2022,1,20,2,30,7XX BUTE ST,West End,490796.7279,5459281.2509
Break and Enter Commercial,2022,2,5,6,39,7XX DENMAN ST,West End,490225.2739,5459938.361
Break and Enter Commercial,2022,2,1,4,4,7XX DUNSMUIR ST,Central Business District,491512.5072,5459022.8055
Break and Enter Commercial,2022,1,10,2,27,7XX HORNBY ST,Central Business District,491194.299,5458940.8446
Break and Enter Commercial,2022,1,19,4,0,7XX KINGSWAY AVE,Kensington-Cedar Cottage,493585.8206,5455915.7234
Break and Enter Commercial,2022,2,2,3,23,7XX THURLOW ST,West End,490943.1339,5459117.899
Break and Enter Commercial,2022,1,11,0,0,7XX THURLOW ST,West End,490950.0367,5459137.7668
Break and Enter Commercial,2022,1,1,8,30,7XX THURLOW ST,West End,491002.6893,5459177.6038
Break and Enter Commercial,2022,1,16,7,44,7XX THURLOW ST,West End,491002.6893,5459177.6038
Break and Enter Commercial,2022,1,13,7,20,7XX W GEORGIA ST,Central Business District,491401.3214,5458865.3307
Break and Enter Commercial,2022,1,2,2,49,7XX W GEORGIA ST,Central Business District,491407.7443,5458871.8391
Break and Enter Commercial,2022,1,4,5,55,81XX MANITOBA ST,Marpole,491989.2004,5450914.4792
Break and Enter Commercial,2022,1,18,18,0,84XX MAIN ST,Sunset,492538.9224,5450621.9466
Break and Enter Commercial,2022,1,4,22,46,84XX ONTARIO ST,Sunset,492228.9428,5450672.7703
Break and Enter Commercial,2022,2,6,20,0,85XX YUKON ST,Marpole,491610.5747,5450544.3565
Break and Enter Commercial,2022,1,4,10,17,87XX GRANVILLE ST,Marpole,489761.9467,5450384.9083
Break and Enter Commercial,2022,1,2,15,20,87XX GRANVILLE ST,Marpole,489763.7386,5450455.7685
Break and Enter Commercial,2022,1,9,4,2,8X NELSON ST,Central Business District,491569.1713,5458021.678
Break and Enter Commercial,2022,1,16,18,30,8XX BEATTY ST,Central Business District,491634.2755,5458251.3782
Break and Enter Commercial,2022,1,29,21,0,8XX DENMAN ST,West End,490067.8492,5459791.8571
Break and Enter Commercial,2022,2,8,6,14,8XX DUNSMUIR ST,Central Business District,491407.2384,5459126.8839
Break and Enter Commercial,2022,1,30,4,54,8XX E 8TH AVE,Mount Pleasant,493696.8784,5456745.9353
Break and Enter Commercial,2022,1,11,17,30,8XX E HASTINGS ST,Strathcona,493761.6688,5458709.1735
Break and Enter Commercial,2022,1,24,17,0,8XX W GEORGIA ST,Central Business District,491334.185,5458944.5383
Break and Enter Commercial,2022,1,2,17,8,8XX W HASTINGS ST,Central Business District,491611.9377,5459294.9622
Break and Enter Commercial,2022,1,17,15,29,8XX W HASTINGS ST,Central Business District,491623.7342,5459283.1514
Break and Enter Commercial,2022,1,7,10,40,9X E 1ST AVE,Mount Pleasant,492513.0093,5457498.9219
Break and Enter Commercial,2022,1,11,15,48,9X E HASTINGS ST,Central Business District,492546.4815,5458739.5604
Break and Enter Commercial,2022,1,17,16,44,9XX BEATTY ST,Central Business District,491494.1126,5458112.2576
Break and Enter Commercial,2022,1,22,6,4,9XX CAMBIE ST,Central Business District,491448.4927,5458187.9218
Break and Enter Commercial,2022,1,20,23,42,9XX EVANS AVE,Strathcona,493982.4806,5457584.2349
Break and Enter Commercial,2022,1,6,2,50,9XX EXPO BLVD,Central Business District,491623.4063,5458093.216
Break and Enter Commercial,2022,1,3,10,28,9XX HOMER ST,Central Business District,491325.8201,5458349.8985
Break and Enter Commercial,2022,2,3,9,21,9XX KINGSWAY AVE,Kensington-Cedar Cottage,493869.8527,5455700.2123
Break and Enter Commercial,2022,1,18,5,0,9XX RICHARDS ST,Central Business District,491277.3697,5458444.3802
Break and Enter Commercial,2022,1,6,4,17,9XX ROBSON ST,Central Business District,491089.0072,5458929.7433
Break and Enter Commercial,2022,1,11,4,10,9XX ROBSON ST,Central Business District,491125.4943,5458908.0422
Break and Enter Commercial,2022,2,4,18,0,X POWELL ST,Central Business District,492436.539,5458956.5709
Break and Enter Commercial,2022,1,18,3,52,X SMITHE MEWS,Central Business District,491850.7052,5457904.055
Break and Enter Commercial,2022,1,29,17,0,X W BROADWAY AVE,Mount Pleasant,492353.8766,5456704.8364
Break and Enter Commercial,2022,2,6,11,42,X WATER ST,Central Business District,492417.4681,5458980.3417
Break and Enter Commercial,2022,2,8,10,29,X WATER ST,Central Business District,492417.4681,5458980.3417
Break and Enter Residential/Other,2022,1,5,10,16,10XX GRANVILLE ST,Central Business District,491016.8336,5458478.6079
Break and Enter Residential/Other,2022,2,3,19,0,10XX W 11TH AVE,Fairview,490704.1755,5456543.4825
Break and Enter Residential/Other,2022,2,7,17,30,10XX W 13TH AVE,Fairview,490747.5746,5456331.9728
Break and Enter Residential/Other,2022,1,5,21,16,10XX W 16TH AVE,Shaughnessy,490713.9612,5456033.2778
Break and Enter Residential/Other,2022,2,3,12,42,10XX W 42ND AVE,Oakridge,490657.8843,5453363.0487
Break and Enter Residential/Other,2022,1,23,3,57,11XX NELSON ST,West End,490593.0672,5458968.048
Break and Enter Residential/Other,2022,1,13,13,19,11XX QUEBEC ST,Central Business District,492593.6337,5457991.7704
Break and Enter Residential/Other,2022,2,6,20,11,11XX W 12TH AVE,Fairview,490485.3208,5456445.518
